E, [2017-01-08T20:51:34.995331 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/lib/bundler/cli/exec.rb:27:in `run'
E, [2017-01-08T20:51:34.995348 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/lib/bundler/cli.rb:332:in `exec'
E, [2017-01-08T20:51:34.995365 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/lib/bundler/vendor/thor/lib/thor/command.rb:27:in `run'
E, [2017-01-08T20:51:34.995382 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/lib/bundler/vendor/thor/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-01-08T20:51:34.995398 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/lib/bundler/vendor/thor/lib/thor.rb:359:in `dispatch'
E, [2017-01-08T20:51:34.995414 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/lib/bundler/cli.rb:20:in `dispatch'
E, [2017-01-08T20:51:34.995430 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/lib/bundler/vendor/thor/lib/thor/base.rb:440:in `start'
E, [2017-01-08T20:51:34.995447 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/lib/bundler/cli.rb:11:in `start'
E, [2017-01-08T20:51:34.995522 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/exe/bundle:34:in `block in <top (required)>'
E, [2017-01-08T20:51:34.995559 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/lib/bundler/friendly_errors.rb:100:in `with_friendly_errors'
E, [2017-01-08T20:51:34.995585 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/bundler-1.13.6/exe/bundle:26:in `<top (required)>'
E, [2017-01-08T20:51:34.995607 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/bin/bundle:23:in `load'
E, [2017-01-08T20:51:34.995629 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/bin/bundle:23:in `<main>'
E, [2017-01-08T20:51:34.995651 #62115] ERROR -- Kitchen: ----End Backtrace-----
